county,lhdi_2018_pred,total_pop,pop_age_18_62,code,total_county,total_healed,total_dead
Alba,52.53721588708077,370821,230414.0,AB,671,27,23
Arad,55.39334491851154,467718,291486.0,AR,799,1,77
Arges,49.75851584174804,626489,392185.0,AG,2656,0,95
Bacau,39.872043010752684,732530,465121.0,BC,1112,0,58
Bihor,50.47920792079208,614001,381766.0,BH,836,0,22
Bistrita-Nasaud,50.77722193254194,326580,203812.0,BN,754,0,66
Botosani,34.69230769230769,454026,286228.0,BT,1109,3,57
Braila,43.11136363636364,336027,209509.0,BR,615,0,4
Brasov,60.95507507998448,638702,390605.0,BV,2629,0,60
Buzau,43.35622882154713,455733,276792.0,BZ,1142,0,11
Calarasi,41.41272727264,303288,185767.0,CL,248,0,3
Caras-Severin,49.01637629651688,311758,194320.0,CS,188,6,7
Cluj,56.3161517784247,739293,459381.0,CJ,953,1,18
Constanta,49.860032552119996,760169,473788.0,CT,728,2,19
Covasna,49.204581979004445,224735,138234.0,CV,384,0,11
Dambovita,48.328089887640445,514582,322583.0,DB,1577,6,18
Dolj,42.306547575780186,681584,421672.0,DJ,559,0,6
Galati,45.02307692307692,627403,403207.0,GL,1784,0,92
Giurgiu,45.50185185185185,266120,164153.0,GR,337,0,6
Gorj,49.212857142857146,351707,228788.0,GJ,642,1,10
Harghita,50.39402985074627,328733,201871.0,HR,495,0,3
Hunedoara,51.35831941595362,447761,282382.0,HD,811,3,72
Ialomita,43.35204494662423,282320,171491.0,IL,640,16,24
Iasi,37.70102040816327,971989,621970.0,IS,1328,1,42
Ilfov,76.565,465806,302727.0,IF,1106,0,23
Maramures,51.49050626073289,517608,328128.0,MM,333,1,6
Mehedinti,35.21161776988788,274276,171285.0,MH,516,0,22
Bucuresti,74.9,2158169,1353367.0,B,4784,6,105
Mures,54.4020839485549,587224,358649.0,MS,895,0,67
Neamt,41.44698795180723,561352,352463.0,NT,1125,0,55
Olt,41.44934434961339,425595,268316.0,OT,610,5,16
Prahova,54.56610449557885,779437,481882.0,PH,1559,0,39
Salaj,48.19599826407377,242105,148439.0,SJ,149,0,17
Satu Mare,50.79086053361539,384119,246529.0,SM,91,0,8
Sibiu,61.020815401321876,468831,292362.0,SB,793,0,46
Suceava,43.18333333333333,763452,474454.0,SV,4114,5,242
Teleorman,37.34344885818763,359865,211773.0,TR,253,0,11
Timis,60.20998001657273,759819,480725.0,TM,985,4,55
Tulcea,43.745764279298044,231433,145705.0,TL,254,0,8
Valcea,46.89237640902584,391894,240249.0,VL,343,0,4
Vaslui,30.28488372093023,504378,324144.0,VS,495,0,19
Vrancea,40.35205479452055,379779,233802.0,VN,1535,0,46
